client_id,age,sexe,profession,secteur,duree_emploi_annees,revenu_mensuel_TND,region,contract_id,date_debut,duree_mois,montant_leasing_TND,mensualite_TND,taux_annuel_pourcent,type_bien,valeur_bien_TND,apport_TND,nb_retards_30,nb_retards_60,nb_retards_90,nb_incidents,dernier_retard_date,outstanding_balance_TND,nb_paiements_effectues,credit_score,collateral_type,collateral_value_TND,nb_contrats_prev,nb_contacts_service_client,motifs_contacts,default_flag,recovery_amount_TND,write_off_flag,branch_id,channel,created_at,probabilite_defaut,has_no_default_date
C00001,59,Homme,Cadre,Services,25,1562,Ariana,L000001,2023-01-01,60,23316,499.6,5.32,Voiture,25607,16890,2,0,1,3,2024-02-14,11825.2,48,673,Caution solidaire,100770,2,3,Réclamation,1,9295,1,AG002,Mobile,2023-01-01,0.52,0
C00002,49,Homme,Artisan,Services,37,3123,La Manouba,L000002,2022-09-05,24,101058,4403.75,8.81,Voiture,105085,4889,0,0,0,0,2025-07-12,4175.5,12,622,Hypothèque,14987,3,5,Réclamation,0,0,0,AG003,Courtier,2022-09-05,0.22,1
C00003,35,Homme,Indépendant,Transport,0,4945,Zaghouan,L000003,2022-07-08,60,92876,1732.93,7.37,Voiture,95187,8212,0,0,0,0,2025-07-12,79012.53,13,474,Hypothèque,65997,0,6,Réclamation,0,0,0,AG004,Agence,2022-07-08,0.18,1
C00004,63,Femme,Commerçant,Industrie,19,3575,Kasserine,L000004,2025-03-03,12,90366,7668.5,8.31,Immobilier,94777,17783,2,0,0,2,2025-05-02,44355.0,0,501,Aucune,9993,4,14,Réclamation,0,0,0,AG003,Mobile,2025-03-03,0.34,1
C00005,28,Femme,Indépendant,Agriculture,27,5801,Tozeur,L000005,2025-04-15,60,18403,451.72,9.29,Machine,19743,3201,0,1,0,1,2025-06-06,16596.13,1,419,Aucune,11465,1,19,Autre,0,0,0,AG002,Courtier,2025-04-15,0.44,1
C00006,41,Homme,Indépendant,Transport,15,7871,Kebili,L000006,2021-09-25,36,85052,2537.56,11.08,Immobilier,88694,7854,2,0,0,2,2021-10-17,6387.78,1,516,Hypothèque,82071,0,11,Demande info,0,0,0,AG004,Mobile,2021-09-25,0.09,1
C00007,59,Homme,Commerçant,Agriculture,16,5459,Monastir,L000007,2022-09-17,60,78495,1447.25,9.63,Immobilier,81085,6763,2,0,0,2,2024-10-19,36524.75,38,573,Aucune,32640,4,4,Renégociation,0,0,0,AG001,Courtier,2022-09-17,0.1,1
C00008,39,Homme,Indépendant,Agriculture,39,5678,Gabès,L000008,2023-05-28,24,101090,4347.08,8.04,Voiture,102626,10653,0,1,0,1,2024-09-20,83701.67,8,772,Hypothèque,75997,0,13,Réclamation,0,0,0,AG003,Agence,2023-05-28,0.17,1
C00009,43,Femme,Artisan,Industrie,27,7428,Tozeur,L000009,2022-01-20,12,41701,3662.08,10.74,équipement,42925,5190,1,1,0,2,2025-05-19,8742.25,7,572,Caution solidaire,12366,3,15,Demande info,0,0,0,AG001,Mobile,2022-01-20,0.3,1
C00010,31,Femme,Artisan,Services,11,3955,Nabeul,L000010,2023-07-13,24,139457,5980.71,11.34,Machine,140944,13715,3,0,0,3,2025-02-27,85630.62,3,403,Aucune,29895,1,10,Réclamation,0,0,0,AG004,Mobile,2023-07-13,0.26,1
