duree_emploi_annees,date_debut,apport_TND,nb_retards_90,dernier_retard_date,outstanding_balance_TND,nb_paiements_effectues,collateral_value_TND,nb_contrats_prev,nb_contacts_service_client,default_flag,recovery_amount_TND,created_at,ratio_mensualite_revenu,sexe_Homme,profession_Artisan,profession_Cadre,profession_Commerçant,profession_Employé,profession_Indépendant,secteur_Commerce,secteur_Industrie,secteur_Services,secteur_Transport,type_bien_Machine,type_bien_Voiture,type_bien_équipement,collateral_type_Caution solidaire,collateral_type_Hypothèque,collateral_type_Nantissement,motifs_contacts_Demande info,motifs_contacts_Renégociation,motifs_contacts_Réclamation,channel_Courtier,channel_Mobile,region_encoded,nb_retards_total
25,2023-01-01,16890,1,2024-02-14,11825.2,48,100770,2,3,1,9295,2023-01-01,0.3198463508322663,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1
37,2022-09-05,4889,0,2025-07-12,4175.5,12,14987,3,5,0,0,2022-09-05,1.41010246557797,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,10,0
0,2022-07-08,8212,0,2025-07-12,79012.53,13,65997,0,6,0,0,2022-07-08,0.3504408493427705,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,23,0
19,2025-03-03,17783,0,2025-05-02,44355.0,0,9993,4,14,0,0,2025-03-03,2.145034965034965,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8,0
27,2025-04-15,3201,0,2025-06-06,16596.13,1,11465,1,19,0,0,2025-04-15,0.07786933287364248,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21,0
15,2021-09-25,7854,0,2021-10-17,6387.78,1,82071,0,11,0,0,2021-09-25,0.3223935967475543,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9,0
16,2022-09-17,6763,0,2024-10-19,36524.75,38,32640,4,4,0,0,2022-09-17,0.26511265799596995,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13,0
39,2023-05-28,10653,0,2024-09-20,83701.67,8,75997,0,13,0,0,2023-05-28,0.7656005635787249,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0
27,2022-01-20,5190,0,2025-05-19,8742.25,7,12366,3,15,0,0,2022-01-20,0.49301023155627355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21,0
11,2023-07-13,13715,0,2025-02-27,85630.62,3,29895,1,10,0,0,2023-07-13,1.512189633375474,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,15,0
26,2022-06-03,5681,0,2023-05-13,23308.75,33,1785,2,11,0,0,2022-06-03,0.38866247379454927,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10,0
29,2022-01-08,3678,0,2025-07-12,27829.12,18,6242,0,18,0,0,2022-01-08,2.198105633802817,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,21,0
33,2020-10-17,14102,1,2024-08-13,60919.25,4,24529,1,16,1,30055,2020-10-17,0.4514523561766018,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,19,1
36,2021-07-29,16720,0,2021-11-15,52728.5,8,112616,3,6,0,0,2021-07-29,3.4620679681851048,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17,0
5,2021-12-05,1667,0,2024-06-28,11111.08,23,64399,0,8,0,0,2021-12-05,0.1680740144810941,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11,0
6,2024-07-11,17293,0,2024-07-31,41001.06,12,6356,3,13,0,0,2024-07-11,0.3398401870980316,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8,0
31,2024-05-03,8204,0,2024-12-03,2611.83,11,85380,2,19,0,0,2024-05-03,0.6093558387874612,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,15,0
31,2024-10-13,5122,0,2025-07-12,58190.21,18,18220,2,11,0,0,2024-10-13,1.704489423778264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3,0
24,2023-02-13,11217,1,2024-12-17,19060.08,8,97222,4,14,1,14735,2023-02-13,0.5801294005708849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3,1
32,2020-10-13,15583,0,2024-01-25,20457.0,9,88198,4,11,0,0,2020-10-13,1.5608702021681804,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,12,0
6,2023-07-12,973,1,2023-09-22,62136.0,41,34261,4,12,1,30055,2023-07-12,2.099009900990099,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7,1
11,2025-01-24,1408,0,2025-07-12,19521.33,11,130792,3,8,0,0,2025-01-24,5.445338042381433,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,8,0
15,2024-10-30,10135,0,2025-02-17,32955.83,13,103467,4,6,0,0,2024-10-30,0.5604345273047563,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12,0
15,2020-12-06,18672,0,2025-07-12,31812.83,7,42380,1,0,0,0,2020-12-06,0.2899268130405855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8,0
